TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF101107-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101107;Lid Ø89,50mm;Deksel rond;89,5;89,5;0;1
MF101172-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101172;Seau 800 ml;Banderole ronde pot;336,65;96,2;1;0
MF101172-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101172;Seau 800 ml;Banderole ronde pot;336,65;96,2;1;1
MF101172-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101172;Seau 800 ml;Banderole ronde pot;336,65;96,2;0;0
MF101172-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101172;Seau 800 ml;Banderole ronde pot;336,65;96,2;0;1
MF101193-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101193;maxibon tub oval;Banderole ovalen pot;334,29;86,6;1;0
MF101193-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101193;maxibon tub oval;Banderole ovalen pot;334,29;86,6;1;1
MF101193-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101193;maxibon tub oval;Banderole ovalen pot;334,29;86,6;0;0
MF101193-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF101193;maxibon tub oval;Banderole ovalen pot;334,29;86,6;0;1
MF101194-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101194;maxibon oval lid;Deksel ovaal;117,01;75,78;1;0
MF101194-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101194;maxibon oval lid;Deksel ovaal;117,01;75,78;1;1
MF101194-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101194;maxibon oval lid;Deksel ovaal;117,01;75,78;0;0
MF101194-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101194;maxibon oval lid;Deksel ovaal;117,01;75,78;0;1
MF101250-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF101250;Envase 365ml;Banderole ronde pot;267,5;64,1;1;0
MF101250-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF101250;Envase 365ml;Banderole ronde pot;267,5;64,1;1;1
MF101250-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF101250;Envase 365ml;Banderole ronde pot;267,5;64,1;0;0
MF101250-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF101250;Envase 365ml;Banderole ronde pot;267,5;64,1;0;1
MF101258-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101258;5610 met boorgat 5 mm;Deksel rechthoekig;92,99;62,5;1;0
MF101258-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101258;5610 met boorgat 5 mm;Deksel rechthoekig;92,99;62,5;1;1
MF101258-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101258;5610 met boorgat 5 mm;Deksel rechthoekig;92,99;62,5;0;0
MF101258-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101258;5610 met boorgat 5 mm;Deksel rechthoekig;92,99;62,5;0;1
MF101261-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101261;M650B Foodbox 750ml;Deksel rechthoekig;113;113;1;0
MF101261-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101261;M650B Foodbox 750ml;Deksel rechthoekig;113;113;1;1
MF101261-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101261;M650B Foodbox 750ml;Deksel rechthoekig;113;113;0;0
MF101261-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101261;M650B Foodbox 750ml;Deksel rechthoekig;113;113;0;1
MF101262-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF101262;M439B Foodbox 2.5L;Deksel rechthoekig;200;139;1;0
MF101262-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF101262;M439B Foodbox 2.5L;Deksel rechthoekig;200;139;1;1
MF101262-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF101262;M439B Foodbox 2.5L;Deksel rechthoekig;200;139;0;0
MF101262-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF101262;M439B Foodbox 2.5L;Deksel rechthoekig;200;139;0;1
